Dry bulb temperature, Total radiation on surface, Beam radiation on surface, Angle of incidence on surface, Sun zenith angle, Sun azimuth angle, Relative humidity, Wind speed, Effective sky temperature, Ground reflectance, Flap State Code, Indoor Air Temp, Outlet Air Temperature, Wall Temperature
38.72	501.42	501.42	90	89	180	21.55	0	38.72	0.2	0	30.97	28.251	23.529
39.25	487.54	487.54	90	89	180	21.03	0	39.25	0.2	0	31.08	28.363	23.579
38.98	490.23	490.23	90	89	180	20.9	0	38.98	0.2	0	31.06	28.458	23.631
39.57	486.04	486.04	90	89	180	20.45	0	39.57	0.2	0	31.4	28.549	23.68
39.27	517.08	517.08	90	89	180	21.19	0	39.27	0.2	0	31.56	28.644	23.733
40.47	504.84	504.84	90	89	180	20.02	0	40.47	0.2	0	31.71	28.726	23.782
39.82	505.08	505.08	90	89	180	21.55	0	39.82	0.2	0	31.87	28.812	23.834
38.95	528.85	528.85	90	89	180	21.97	0	38.95	0.2	0	32.02	28.887	23.893
39.14	522.64	522.64	90	89	180	21.99	0	39.14	0.2	0	32.21	28.966	23.952
39.59	510.8	510.8	90	89	180	21.2	0	39.59	0.2	0	32.36	29.034	24.001
39.12	494.87	494.87	90	89	180	21.54	0	39.12	0.2	0	32.53	29.103	24.054
39.29	493.54	493.54	90	89	180	21.52	0	39.29	0.2	0	32.69	29.172	24.113
39.31	486.94	486.94	90	89	180	20.87	0	39.31	0.2	0	32.85	29.247	24.162
39.33	493.78	493.78	90	89	180	20.97	0	39.33	0.2	0	33.03	29.306	24.221
38.94	479.83	479.83	90	89	180	21.55	0	38.94	0.2	0	33.2	29.382	24.273
39.32	465.96	465.96	90	89	180	21.56	0	39.32	0.2	0	33.35	29.424	24.322
38.91	447.42	447.42	90	89	180	22.02	0	38.91	0.2	0	33.54	29.493	24.375
38.62	454.66	454.66	90	89	180	22.25	0	38.62	0.2	0	33.7	29.526	24.434
38.33	453.66	453.66	90	89	180	22.31	0	38.33	0.2	0	33.89	29.585	24.483
37.87	447.44	447.44	90	89	180	25.35	0	37.87	0.2	0	34.03	29.634	24.535
38.05	414.76	414.76	90	89	180	24.4	0	38.05	0.2	0	34.19	29.683	24.585
37.93	426.16	426.16	90	89	180	23.12	0	37.93	0.2	0	34.35	29.719	24.627
37.62	421.57	421.57	90	89	180	25.37	0	37.62	0.2	0	34.49	29.762	24.68
37.43	409.76	409.76	90	89	180	26.0	0	37.43	0.2	0	34.65	29.795	24.722
37.23	387.09	387.09	90	89	180	24.56	0	37.23	0.2	0	34.8	29.821	24.762
36.37	340.54	340.54	90	89	180	28.91	0	36.37	0.2	0	34.92	29.837	24.804
35.74	337.0	337.0	90	89	180	31.49	0	35.74	0.2	0	34.77	29.844	24.847
35.12	333.56	333.56	90	89	180	32.93	0	35.12	0.2	0	35.18	29.854	24.883
34.49	332.96	332.96	90	89	180	34.63	0	34.49	0.2	0	35.3	29.837	24.916
34.04	346.05	346.05	90	89	180	34.29	0	34.04	0.2	0	35.43	29.863	24.948
34.03	353.42	353.42	90	89	180	35.27	0	34.03	0.2	0	35.54	29.88	24.975
33.63	338.92	338.92	90	89	180	37.05	0	33.63	0.2	0	35.66	29.89	25.001
33.06	337.23	337.23	90	89	180	37.57	0	33.06	0.2	0	35.74	29.89	25.027
32.61	329.45	329.45	90	89	180	38.81	0	32.61	0.2	0	35.85	29.87	25.053
32.45	329.07	329.07	90	89	180	37.48	0	32.45	0.2	0	35.94	29.854	25.07
32.1	328.3	328.3	90	89	180	37.79	0	32.1	0.2	0	35.82	29.827	25.096
31.77	324.48	324.48	90	89	180	38.26	0	31.77	0.2	0	36.09	29.811	25.112
31.62	324.97	324.97	90	89	180	37.64	0	31.62	0.2	0	36.19	29.785	25.129
31.29	323.56	323.56	90	89	180	37.69	0	31.29	0.2	0	36.24	29.762	25.145
31.13	325.78	325.78	90	89	180	38.32	0	31.13	0.2	0	36.31	29.736	25.155
30.91	323.49	323.49	90	89	180	39.4	0	30.91	0.2	0	36.38	29.719	25.171
30.68	322.08	322.08	90	89	180	39.42	0	30.68	0.2	0	36.41	29.693	25.178
30.43	325.4	325.4	90	89	180	40.3	0	30.43	0.2	0	36.46	29.677	25.187
30.29	321.32	321.32	90	89	180	40.54	0	30.29	0.2	0	36.5	29.65	25.197
30.16	323.52	323.52	90	89	180	40.42	0	30.16	0.2	0	36.52	29.634	25.204
29.97	320.8	320.8	90	89	180	40.24	0	29.97	0.2	0	36.57	29.608	25.214
29.78	322.23	322.23	90	89	180	40.54	0	29.78	0.2	0	36.57	29.585	25.214
29.61	321.36	321.36	90	89	180	40.41	0	29.61	0.2	0	36.59	29.559	25.22
29.34	324.11	324.11	90	89	180	40.59	0	29.34	0.2	0	36.59	29.532	25.22
29.15	325.99	325.99	90	89	180	40.9	0	29.15	0.2	0	36.59	29.516	25.22
28.89	326.44	326.44	90	89	180	40.47	0	28.89	0.2	0	36.58	29.493	25.22
28.75	326.66	326.66	90	89	180	40.96	0	28.75	0.2	0	36.58	29.467	25.214
28.46	324.48	324.48	90	89	180	42.45	0	28.46	0.2	0	36.57	29.441	25.214
28.39	322.04	322.04	90	89	180	42.5	0	28.39	0.2	0	36.53	29.398	25.204
28.37	322.73	322.73	90	89	180	42.7	0	28.37	0.2	0	36.51	29.382	25.204
28.01	326.12	326.12	90	89	180	42.88	0	28.01	0.2	0	36.48	29.349	25.197
27.74	326.14	326.14	90	89	180	43.48	0	27.74	0.2	0	36.45	29.323	25.187
27.64	323.88	323.88	90	89	180	43.94	0	27.64	0.2	0	36.41	29.3	25.178
27.56	321.4	321.4	90	89	180	44.4	0	27.56	0.2	0	36.38	29.264	25.171
27.39	318.97	318.97	90	89	180	44.62	0	27.39	0.2	0	36.32	29.221	25.155
27.13	317.94	317.94	90	89	180	46.21	0	27.13	0.2	0	36.29	29.188	25.145
27.08	316.7	316.7	90	89	180	46.25	0	27.08	0.2	0	36.24	29.146	25.129
26.95	317.73	317.73	90	89	180	46.61	0	26.95	0.2	0	36.21	29.113	25.112
26.62	318.64	318.64	90	89	180	47.04	0	26.62	0.2	0	35.92	29.087	25.102
26.39	316.53	316.53	90	89	180	47.18	0	26.39	0.2	0	36.08	29.051	25.086
26.28	314.74	314.74	90	89	180	47.84	0	26.28	0.2	0	35.74	29.018	25.07
26.38	315.29	315.29	90	89	180	47.83	0	26.38	0.2	0	35.99	28.982	25.053
26.35	318.28	318.28	90	89	180	47.94	0	26.35	0.2	0	35.78	28.956	25.027
26.02	315.4	315.4	90	89	180	48.93	0	26.02	0.2	0	35.86	28.929	25.011
25.82	314.76	314.76	90	89	180	49.53	0	25.82	0.2	0	35.8	28.897	24.991
25.72	317.28	317.28	90	89	180	49.91	0	25.72	0.2	0	35.72	28.871	24.975
25.45	318.26	318.26	90	89	180	50.86	0	25.45	0.2	0	35.67	28.838	24.948
25.14	315.33	315.33	90	89	180	52.39	0	25.14	0.2	0	35.58	28.812	24.925
25.18	314.89	314.89	90	89	180	52.49	0	25.18	0.2	0	35.53	28.785	24.899
25.0	315.7	315.7	90	89	180	51.97	0	25.0	0.2	0	35.46	28.753	24.883
25.28	314.03	314.03	90	89	180	51.39	0	25.28	0.2	0	35.38	28.736	24.857
25.08	317.11	317.11	90	89	180	52.09	0	25.08	0.2	0	35.31	28.71	24.83
